session_year,party,seats_over_side,caption,table_str,data,legislator,id,seat
1880-01-01T12:00:00Z,Democrat,-0,"<strong>1880</strong> <span style = ""color:#E41A1C"">Republicans</span> have  7 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 37 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 22 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> NA </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1880-01-01T12:00:00Z,Republican,7,"<strong>1880</strong> <span style = ""color:#E41A1C"">Republicans</span> have  7 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 37 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 22 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> NA </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1882-01-01T12:00:00Z,Democrat,-0,"<strong>1882</strong> <span style = ""color:#E41A1C"">Republicans</span> have  9 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 20 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1882-01-01T12:00:00Z,Republican,9,"<strong>1882</strong> <span style = ""color:#E41A1C"">Republicans</span> have  9 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 20 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1885-01-01T12:00:00Z,Democrat,-0,"<strong>1885</strong> <span style = ""color:#E41A1C"">Republicans</span> have  6 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 36 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1885-01-01T12:00:00Z,Republican,6,"<strong>1885</strong> <span style = ""color:#E41A1C"">Republicans</span> have  6 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 36 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1887-01-01T12:00:00Z,Democrat,NA,<strong>1887</strong> Party affiliations unknown.,NA,majority,NA,NA,NA
1887-01-01T12:00:00Z,Republican,NA,<strong>1887</strong> Party affiliations unknown.,NA,majority,NA,NA,NA
1889-01-01T12:00:00Z,Democrat,NA,<strong>1889</strong> Party affiliations unknown.,NA,majority,NA,NA,NA
1889-01-01T12:00:00Z,Republican,NA,<strong>1889</strong> Party affiliations unknown.,NA,majority,NA,NA,NA
